,Oznaka,Ime_podjetja,Cena,Sprememba_cene,Sprememba_v_odstotkih,PE_razmerje,Stevilo_delnic,Sprememba_do_danes
576,JOUT,JOHNSON OUTDOORS INC,75.21,-1.29,-1.69,14.7,0.000563,-1.94
577,LRN,K12 INC,20.38,-0.21,-1.02,23.2,0.0020989999999999997,0.15
578,KAI,KADANT INC,106.24,-1.37,-1.27,19.7,0.001159,0.85
579,KALU,KAISER ALUMINUM CORP,107.28,-0.56,-0.52,18.3,0.000705,-3.26
580,KAMN,KAMAN CORP,66.08,0.26,0.4,24.5,0.001152,0.24
581,KBH,KB HOME,37.06,0.06,0.16,14.8,0.037,8.14
582,KRNY,KEARNY FINANCIAL CORP,13.39,-0.06,-0.45,28.5,0.001534,-3.18
583,KEM,KEMET CORP,26.81,0.03,0.11,9.7,0.006104999999999999,-0.89
584,KFRC,KFORCE INC,39.38,-0.185,-0.47,15.9,0.000907,-0.82
585,KIRK,KIRKLANDS INC,1.28,-0.06,-4.48,0.0,0.005352,3.23
586,KRG,KITE REALTY GROUP TRUST,18.58,-0.21,-1.12,0.0,0.005452,-4.86
587,KNX,KNIGHT TRANSPORTATION,37.02,-0.07,-0.19,16.4,0.03,3.29
588,KNL,KNOLL INC,23.94,-0.36,-1.48,14.4,0.003157,-5.23
589,KOPN,KOPIN CORP,0.47,-0.0112,-2.33,0.0,0.0040100000000000005,17.15
590,KOP,KOPPERS HOLDINGS INC,34.01,-0.26,-0.76,16.1,0.00114,-11.02
591,KFY,KORN FERRY INTERNATIONA,42.49,0.13,0.31,13.2,0.0030399999999999997,0.21
592,KRA,KRATON PERF POLYMERS,23.51,-0.86,-3.53,8.4,0.001572,-7.15
593,KTOS,KRATOS DEFENSE & SEC SO,20.08,0.185,0.93,167.3,0.00811,11.49
594,KVHI,KVH INDUSTRIES INC,11.07,0.04,0.36,0.0,0.00015900000000000002,-0.54
595,LZB,LA Z BOY INC,31.7,-0.07,-0.22,21.3,0.002623,0.7
596,LTS,LADENBURG THALMAN FIN,3.48,0.03,0.87,0.0,0.02,0.0
597,LBAI,LAKELAND BANCORP INC,17.01,-0.035,-0.21,12.7,0.0007650000000000001,-2.16
598,LKFN,LAKELAND FINANCIAL CORP,48.42,-0.21,-0.43,14.5,0.00032599999999999996,-1.04
599,LANC,LANCASTER COLONY CORP,157.25,0.01,0.01,28.5,0.0010710000000000001,-1.78
600,LNDC,LANDEC CORP,10.45,0.17,1.65,0.0,0.001377,-7.6
601,LCI,LANNETT CO INC,8.21,0.14,1.73,63.2,0.0077069999999999994,-6.92
602,LSCC,LATTICE SEMICONDUCTOR,21.2,-0.01,-0.05,141.3,0.021,10.76
603,LCNB,LCNB CORP,18.57,-0.15,-0.8,12.6,0.000148,-3.78
604,LXRX,LEXICON PHARMACEUTICALS,4.09,0.07,1.74,2.9,0.006901999999999999,-1.45
605,LXP,LEXINGTON REALTY TRUST,10.53,0.02,0.19,11.6,0.016,-0.85
606,LHCG,LHC GROUP INC,142.46,1.83,1.3,46.7,0.0024980000000000002,3.41
607,LBY,LIBBEY INC,1.5,0.03,2.04,0.0,0.002788,3.45
608,LTM,LIFE TIME FITNESS INC,9.78,0.0,0.0,26.3,0.007168000000000001,-3.74
609,LCUT,LIFETIME BRANDS INC,7.3,0.01,0.14,0.0,0.00026000000000000003,5.04
610,LFVN,LIFEVANTAGE CORP,15.74,0.2,1.29,28.1,0.000942,0.83
611,LWAY,LIFEWAY FOODS INC,2.09,-0.05,-2.34,0.0,0.000194,5.03
612,LGND,LIGAND PHARMACEUTICALS,95.69,-1.73,-1.78,3.2,0.002747,-8.25
613,LLNW,LIMELIGHT NETWORKS INC,4.52,0.1,2.26,0.0,0.01,10.78
614,LMNR,LIMONEIRA CO,18.44,-0.32,-1.71,0.0,0.00028700000000000004,-4.11
615,LINC,LINCOLN EDUCATIONAL SVS,2.35,-0.14,-5.62,0.0,0.00017900000000000001,-12.96
616,LNN,LINDSAY CORP,105.0,8.31,8.59,525.0,0.003966,9.39
617,LQDT,LIQUIDITY SERVICES INC,5.85,-0.265,-4.34,0.0,0.000549,-1.93
618,LAD,LITHIA MOTORS INC,138.9,-0.51,-0.37,12.3,0.003498,-5.51
619,LFUS,LITTELFUSE INC,190.65,-1.17,-0.61,31.9,0.000889,-0.34
620,LYV,LIVE NATION ENT INC,71.98,0.29,0.4,,0.014,0.71
621,LPSN,LIVEPERSON INC,39.52,1.04,2.7,0.0,0.006961,6.81
622,LOGM,LOGMEIN INC,85.89,-0.1,-0.12,306.8,0.005721,0.17
623,LORL,LORAL SPACE & COMM,31.29,-0.92,-2.86,23.4,0.00057,-3.19
624,LPX,LOUISIANA PACIFIC CORP,31.01,0.26,0.85,62.0,0.013,4.52
625,LXU,LSB INDUSTRIES INC,3.65,-0.15,-3.95,0.0,0.001306,-13.1
626,LYTS,LSI INDUSTRIES INC,6.2,-0.15,-2.36,0.0,0.000558,2.48
627,LTC,LTC PROPERTIES INC,44.88,0.3,0.67,18.2,0.002677,0.25
628,LUB,LUBYS INC,2.22,0.025,1.14,0.0,3.7e-05,0.91
629,LMNX,LUMINEX CORP,23.11,-0.05,-0.22,0.0,0.001709,-0.22
630,LDL,LYDALL INC,21.61,0.83,3.99,51.8,0.001424,5.31
631,MHO,M/I HOMES INC,42.35,-0.03,-0.07,10.1,0.002607,7.62
632,MTSI,MA COM TECHNOLOGY SOL,26.39,-0.185,-0.7,0.0,0.001809,-0.79
633,MCBC,MACATAWA BANK CORP,10.86,-0.07,-0.64,11.9,0.000314,-2.43
634,SHOO,MADDEN STEVEN LTD,42.0,-0.6,-1.41,25.8,0.003602,-2.35
635,MGLN,MAGELLAN HEALTH SVCS IN,74.68,-1.01,-1.33,233.4,0.001015,-4.56
636,MHLD,MAIDEN HOLDINGS LTD,0.87,0.0452,5.51,0.0,0.000986,15.49
637,MAIN,MAIN STREET CAPITAL COR,43.57,0.14,0.32,22.2,0.002016,1.07
638,MANH,MANHATTAN ASSOCS INC,83.22,0.72,0.87,57.0,0.003244,4.35
639,MNTX,MANITEX INTL INC,5.62,0.03,0.54,0.0,5.3e-05,-5.55
640,MNKD,MANNKIND CORP,1.43,0.04,2.88,0.0,0.042,10.85
641,MANT,MANTECH INTERNATIONAL,80.38,0.32,0.4,34.5,0.001497,0.63
642,MCHX,MARCHEX INC,3.63,-0.06,-1.63,0.0,0.000733,-3.97
643,MCS,MARCUS CORP,31.04,-0.07,-0.23,22.2,0.002288,-2.3
644,MPX,MARINE PRODUCTS CORP,14.05,-0.2,-1.4,16.3,6.1e-05,-2.43
645,HZO,MARINEMAX INC,16.17,-0.25,-1.52,10.3,0.0012369999999999998,-3.12
646,MKTX,MARKETAXESS HOLDINGS IN,371.7,7.4,2.03,70.3,0.004143,-1.95
647,MRLN,MARLIN BUSINESS SVCS,21.28,0.15,0.71,10.5,0.000157,-3.18
648,VAC,MARRIOTT VAC WORLD CORP,127.62,-0.65,-0.51,48.0,0.001714,-0.89
649,MRTN,MARTEN TRANS LTD,21.0,-0.18,-0.85,18.9,0.001228,-2.28
650,MASI,MASIMO CORPORATION,162.63,3.64,2.29,48.7,0.003481,2.89
651,MTZ,MASTEC INC,62.23,-0.96,-1.52,14.5,0.0072840000000000005,-3.01
652,MTDR,MATADOR RES CO,18.41,-0.3,-1.6,10.6,0.027,2.45
653,MTRN,MATERION CORPORATION,61.46,0.47,0.77,84.2,0.001625,3.38
654,MTRX,MATRIX SERVICE CO,21.84,-0.19,-0.86,19.0,0.0013130000000000001,-4.55
655,MATX,MATSON INC,38.47,-0.37,-0.95,19.0,0.000985,-5.71
656,MATW,MATTHEWS INTERNATIONAL,37.16,-0.03,-0.08,0.0,0.000755,-2.65
657,MMS,MAXIMUS INC,74.59,0.68,0.92,20.1,0.002146,0.27
658,MXL,MAXLINEAR INC,20.53,-0.65,-3.07,0.0,0.006723999999999999,-3.25
659,MNI,MCCLATCHY CO,0.44,0.008,1.85,0.0,0.000973,-8.12
660,MGRC,MCGRATH RENTCORP,78.04,0.04,0.05,20.3,0.0010949999999999998,1.96
661,MDC,MDC HOLDINGS INC,39.79,-0.11,-0.28,12.6,0.006470999999999999,4.27
662,MPW,MEDICAL PROPERTIES TRUS,21.08,0.16,0.76,26.4,0.033,-0.14
663,MED,MEDIFAST INC,109.67,-1.57,-1.41,18.0,0.002332,0.08
664,MCC,MEDLEY CAPITAL CORP,2.19,0.0,0.0,0.0,0.001026,0.46
665,MEIP,MEI PHARMA INC,2.04,-0.08,-3.77,0.0,0.005647999999999999,-17.74
666,MBWM,MERCANTILE BANK CORP,35.59,0.09,0.25,12.3,0.00024300000000000002,-2.41
667,MRCY,MERCURY SYSTEMS INC,73.44,0.58,0.8,63.9,0.002659,6.27
668,MDP,MEREDITH CORP,31.6,-1.64,-4.93,31.0,0.015,-2.68
669,VIVO,MERIDIAN BIOSCIENCE INC,9.77,-0.035,-0.36,17.1,0.003057,0.0
670,EBSB,MERIDIAN INTERSTATE,19.41,-0.08,-0.41,16.0,0.0008529999999999999,-3.38
671,MMSI,MERIT MED SYSTEMS INC,34.05,0.42,1.25,103.2,0.009528,9.06
672,MTH,MERITAGE HOMES CORP,63.77,0.16,0.25,11.3,0.006533,4.35
673,MTOR,MERITOR INC,25.52,-0.53,-2.03,7.6,0.025,-2.56
674,MACK,MERRIMACK PHARMACEUTICA,3.38,0.14,4.32,0.0,0.00027,7.3
675,MLAB,MESA LABS INC,253.4,1.49,0.59,106.5,0.000523,1.6
676,CASH,META FINANCIAL GROUP IN,38.3,0.32,0.84,15.4,0.0074730000000000005,4.9
677,MEI,METHODE ELECTRS INC,38.87,-0.32,-0.82,13.9,0.001766,-1.22
678,MGEE,MGE ENERGY INC,76.74,0.22,0.29,30.7,0.000552,-2.64
679,MTG,MGIC INVESTMENT CORP,14.03,0.21,1.52,7.9,0.018,-0.99
680,MSTR,MICROSTRATEGY INC,143.5,-0.21,-0.15,58.6,0.000642,0.61
681,MIDD,MIDDLEBY CORP,109.58,0.75,0.69,18.1,0.003214,0.05
682,MSEX,MIDDLESEX WATER CO,61.43,0.13,0.21,31.2,0.000582,-3.37
683,MOFG,MIDWESTONE FINL GROUP,34.95,-0.37,-1.05,12.9,0.0006450000000000001,-3.53
684,MLR,MILLER INDUSTRIES INC,35.93,-0.2,-0.55,10.7,0.000241,-3.23
685,MSA,MINE SAFETY APPLIANCES,130.87,1.37,1.06,39.4,0.0016829999999999998,3.57
686,MTX,MINERALS TECHNOLOGIES,55.83,-0.3,-0.53,13.4,0.001882,-3.12
687,MIND,MITCHAM INDUSTRIES INC,3.1,0.12,4.03,0.0,0.000553,8.01
688,MITK,MITEK SYS INC,7.99,-0.01,-0.12,0.0,0.002627,4.44
689,MKSI,MKS INSTRUMENTS INC,110.1,1.94,1.8,35.6,0.00424,0.08
690,MINI,MOBILE MINI INC,38.53,0.01,0.03,24.9,0.0035240000000000002,1.64
691,MODN,MODEL N INC,34.31,0.33,0.97,0.0,0.004267,-2.17
692,MOD,MODINE MANUFACTURING CO,7.4,-0.06,-0.8,14.0,0.0023829999999999997,-3.9
693,MOH,MOLINA HEALTHCARE INC,143.43,-0.35,-0.24,12.1,0.00464,5.7
694,MNTA,MOMENTA PHARMACEUTICALS,19.5,0.01,0.05,0.0,0.004277,-1.17
695,MCRI,MONARCH CASINO & RESORT,51.45,-0.67,-1.29,29.2,0.0008539999999999999,5.97
696,MGI,MONEYGRAM INTERNATIONAL,2.19,-0.07,-3.1,0.0,0.011,4.29
697,MNR,MONMOUTH REAL ESTATE,14.27,-0.07,-0.49,118.8,0.002634,-1.45
698,MPWR,MONOLITHIC POWER SYSTEM,178.72,2.38,1.35,78.0,0.0018059999999999999,0.39
699,MNRO,MONRO MUFFLER BRAKE INC,75.77,-1.71,-2.21,32.0,0.00164,-3.11
700,MOSY,MOSYS INC,1.92,0.0791,4.3,0.0,0.001015,8.78
701,MOV,MOVADO GROUP INC,20.38,-0.64,-3.04,8.4,0.001251,-6.26
702,MTSC,MTS SYSTEMS CORP,49.71,1.2,2.47,22.5,0.0015810000000000002,3.5
703,MLI,MUELLER INDUSTRIES INC,30.94,-0.06,-0.19,17.6,0.001245,-2.55
704,MWA,MUELLER WTR PRODS INC,11.93,-0.02,-0.17,29.8,0.004423,-0.42
705,MVC,MVC CAPITAL INC,9.28,0.0,0.0,14.3,0.00010700000000000001,1.2
706,MYE,MYERS INDUSTRIES INC,16.42,-0.03,-0.18,26.5,0.0009720000000000001,-1.56
707,MYRG,MYR GROUP INC DEL,31.38,-0.12,-0.38,14.8,0.0006490000000000002,-3.71
708,NATH,NATHANS FAMOUS INC NEW,72.77,0.81,1.13,14.4,9.7e-05,2.67
709,NBHC,NATIONAL BANK HOLDINGS,36.18,0.02,0.06,14.6,0.001456,2.73
710,NKSH,NATIONAL BANKSHARES INC,43.8,0.77,1.79,17.0,5.5e-05,-2.52
711,FIZZ,NATIONAL BEVERAGE CORP,46.41,-0.47,-1.0,18.5,0.002995,-9.04
712,NCMI,NATIONAL CINEMEDIA INC,7.82,0.015,0.19,18.2,0.00869,7.2
713,NHI,NATIONAL HEALTH INVS IN,81.75,0.65,0.8,22.8,0.0017809999999999998,0.33
714,NHC,NATIONAL HEALTHCARE COR,87.0,-0.99,-1.13,18.4,0.0005139999999999999,0.66
715,NPK,NATIONAL PRESTO INDS IN,87.75,-1.47,-1.65,19.1,0.0005769999999999999,-0.72
716,NWLI,NATIONAL WESTRN LIFE IN,287.09,-1.94,-0.67,8.8,5.2000000000000004e-05,-1.3
717,NGS,NATURAL GAS SERVICES GR,12.34,-0.24,-1.91,0.0,0.00032,0.65
718,NGVC,NATURAL GROCERS VITA CT,9.75,0.05,0.52,23.2,0.00044699999999999997,-1.22
719,NATR,NATURES SUNSHINE PRODS,9.53,0.08,0.85,68.1,0.00020099999999999998,6.72
720,NLS,NAUTILUS  INC,2.82,0.64,29.36,0.0,0.038,61.14
721,NAVB,NAVIDEA BIOPHARMA INC,1.51,-0.01,-0.66,0.0,0.0027890000000000002,19.84
722,NBTB,NBT BANCORP INC,40.31,0.06,0.15,14.7,0.000916,-0.62
723,NKTR,NEKTAR THERAPEUTICS,21.59,-0.17,-0.78,0.0,0.019,0.02
724,NNI,NELNET INC,59.46,-0.59,-0.98,19.8,0.0007019999999999999,2.09
725,NEOG,NEOGEN CORP,65.34,0.35,0.54,57.3,0.001222,0.12
726,NEO,NEOGENOMICS INC,29.65,0.42,1.44,,0.006759,1.37
727,NEON,NEONODE INC,2.18,0.106,5.11,0.0,0.00032900000000000003,12.41
728,NPTN,NEOPHOTONICS CORP,9.24,0.03,0.33,0.0,0.007815,4.76
729,NETE,NET ELEMENT INTL INC,3.46,-0.02,-0.57,0.0,0.000334,7.79
730,NTGR,NETGEAR INC,25.06,-0.3,-1.18,30.6,0.002598,2.24
731,NTCT,NETSCOUT SYSTEMS INC,25.01,0.18,0.72,0.0,0.003002,3.91
732,NBIX,NEUROCRINE BIOSCIENCES,113.76,2.47,2.22,517.1,0.008425,5.83
733,NJR,NEW JERSEY RESOURCES,42.52,-0.14,-0.33,22.5,0.007379999999999999,-4.6
734,NMFC,NEW MTN FIN CORP,13.81,-0.07,-0.5,13.7,0.006084,0.51
735,NRZ,NEW RESIDENTIAL INVT,16.34,0.09,0.55,20.9,0.069,1.43
736,NYMT,NEW YORK MTG TR INC,6.23,0.05,0.81,14.5,0.071,0.0
737,NYT,NEW YORK TIMES CO,31.52,-1.02,-3.13,41.5,0.01,-2.02
738,NLNK,NEWLINK GENETICS CORP,2.19,0.07,3.3,0.0,0.006673,-13.44
739,NXST,NEXSTAR BROADCASTING GR,123.17,-2.34,-1.86,21.8,0.005998,5.05
740,EGOV,NIC INC,21.93,-0.1,-0.45,29.2,0.003218,-1.88
741,NICK,NICHOLAS FINANCIAL INC,8.31,-0.2237,-2.62,0.0,0.000285,0.85
742,NNBR,NN INC,8.53,-0.15,-1.73,0.0,0.0024460000000000003,-7.78
743,NAT,NORDIC AMERICAN TANKER,4.98,0.12,2.47,0.0,0.034,1.22
744,NOG,NORTHERN OIL & GAS INC,2.14,0.05,2.39,2.0,0.056,-8.55
745,NFBK,NORTHFIELD BANCORP INC,16.51,-0.125,-0.75,19.4,0.00075,-2.65
746,NRIM,NORTHRIM BANCORP INC,38.0,0.2,0.53,12.5,0.000143,-0.78
747,NWBI,NORTHWEST BANCSHARES IN,16.41,-0.11,-0.67,15.5,0.005502,-1.32
748,NWN,NORTHWEST NATURAL GAS C,71.15,-1.21,-1.67,32.6,0.002366,-3.5
749,NWPX,NORTHWEST PIPE CO,32.27,0.38,1.19,19.6,0.0008470000000000001,-3.12
750,NWE,NORTHWESTERN CORP,70.79,0.43,0.61,17.2,0.002346,-1.23
751,NVAX,NOVAVAX INC,4.01,-0.27,-6.31,0.0,0.021,0.75
752,NUVA,NUVASIVE INC,79.7,0.58,0.73,88.6,0.006731999999999999,3.05
753,NES,NUVERRA ENVTL SOLUTIONS,2.9,0.05,1.75,0.0,4.6e-05,0.17
754,NVEC,NVE CORP,69.98,-0.44,-0.62,24.8,8.1e-05,-1.99
755,OCFC,OCEANFIRST FINANCIAL,25.45,0.26,1.03,13.8,0.003387,-0.35
756,OMEX,ODYSSEY MARINE EXPLOR,4.32,0.17,4.1,0.0,0.000611,35.42
757,OFG,OFG BANCORP,22.79,0.15,0.66,16.0,0.0034549999999999997,-3.47
758,ODC,OIL DRI CORP OF AMERICA,36.46,0.25,0.69,18.1,0.000105,0.58
759,OLN,OLIN CORP,16.53,-0.16,-0.96,23.0,0.021,-4.17
760,ZEUS,OLYMPIC STEEL INC,17.68,-0.01,-0.06,61.0,0.000529,-1.34
761,OFLX,OMEGA FLEX INC,107.8,-0.78,-0.72,61.3,0.000136,0.48
762,OMER,OMEROS CORP,13.58,0.205,1.53,0.0,0.018,-3.66
763,OMCL,OMNICELL INC,81.32,-0.34,-0.42,63.5,0.002424,-0.49
764,OMN,OMNOVA SOLUTIONS INC,10.11,-0.01,-0.1,56.2,0.0008759999999999999,0.0
765,ASGN,ON ASSIGNMENT INC,70.64,0.69,0.99,20.8,0.0019,-0.46
766,OLP,ONE LIBERTY PROPERTIES,27.44,0.02,0.07,43.6,0.000302,0.92
767,OPY,OPPENHEIMER HOLDINGS IN,27.88,-0.31,-1.1,10.8,0.000388,1.46
768,OSUR,ORASURE TECHNOLOGIES IN,7.85,-0.04,-0.51,20.1,0.0026309999999999997,-2.24
769,ORBC,ORBCOMM INC,4.18,0.06,1.46,0.0,0.009255,-0.71
770,ORN,ORION MARINE GROUP INC,5.05,0.09,1.81,0.0,0.0007599999999999999,-2.7
771,ORA,ORMAT TECHNOLOGIES INC,75.68,0.71,0.95,41.1,0.001492,1.56
772,OFIX,ORTHOFIX INTL N V,46.71,0.42,0.91,0.0,0.001008,1.15
773,OSIS,OSI SYSTEMS INC,101.17,1.23,1.23,24.9,0.00141,0.43
774,OTTR,OTTER TAIL CORP,51.45,0.32,0.63,25.5,0.000638,0.31
775,OSTK,OVERSTOCK COM INC,8.12,0.235,2.98,0.0,0.02,15.18
776,OMI,OWENS & MINOR INC,5.01,-0.03,-0.6,0.0,0.01,-3.09
777,OXM,OXFORD INDUSTRIES INC,72.42,-3.17,-4.19,17.5,0.001943,-3.98
778,PACB,PACIFIC BIOSCIENCES CA,4.64,-0.065,-1.38,0.0,0.055,-9.63
779,PPBI,PACIFIC PREMIER BANCORP,31.79,0.02,0.06,12.4,0.001771,-2.5
780,PCRX,PACIRA PHARMACEUTICALS,42.9,-0.2,-0.46,858.0,0.011,-5.3
781,PACW,PACWEST BANCORP,37.0,-0.31,-0.83,9.6,0.006878,-3.32
782,PHX,PANHANDLE OIL AND GAS,9.86,-0.56,-5.37,0.0,0.000518,-12.04
783,PZZA,PAPA JOHNS INTERNATIONA,65.28,0.72,1.12,0.0,0.004437,3.37
784,PZG,PARAMOUNT GOLD & SILVER,0.77,-0.0081,-1.04,0.0,0.00011499999999999999,-0.18
785,PKE,PARK ELECTROCHEMICAL,16.72,0.23,1.39,40.8,0.002416,2.77
786,PRK,PARK NATIONAL CORP,101.59,-0.66,-0.65,15.6,0.00026000000000000003,-0.77
787,PKOH,PARK OHIO HOLDINGS CORP,35.25,0.23,0.66,9.5,0.000587,4.75
788,PKD,PARKER DRILLING CO,19.61,-0.46,-2.29,0.0,0.000221,-12.84
789,PATK,PATRICK INDS INC,52.37,-0.33,-0.63,12.6,0.001698,-0.11
790,PCTI,PC-TEL INC,8.47,-0.08,-0.94,0.0,0.0005740000000000001,0.0
791,PDCE,PDC ENERGY INC,25.46,-0.94,-3.56,11.8,0.023,-2.71
792,PDFS,PDF SOLUTIONS INC,17.15,-0.05,-0.29,0.0,0.001103,1.54
793,PDLI,PDL BIOPHARMA INC,3.14,0.06,1.95,0.0,0.008262,-3.24
794,PGC,PEAPACK-GLADSTONE FINL,30.26,-0.24,-0.79,12.8,0.000367,-2.07
795,PEB,PEBBLEBROOK HOTEL TRUST,25.77,0.01,0.04,0.0,0.02,-3.88
796,PEGA,PEGASYSTEMS INC,81.92,0.95,1.17,0.0,0.002389,2.85
797,PFLT,PENNANTPARK FLOATING,12.4,0.03,0.24,42.8,0.001263,1.81
798,PNNT,PENNANTPARK INVT CORP,6.54,0.0,0.0,27.3,0.0015689999999999999,0.15
799,PWOD,PENNS WOODS BANCORP INC,33.64,0.14,0.42,18.5,8.499999999999999e-05,-5.4
800,PEI,PENNSYLVANIA REAL ESTAT,5.03,-0.06,-1.18,0.0,0.0076170000000000005,-5.63
801,PFSI,PENNYMAC FINL SVCS INC,33.68,0.54,1.63,9.2,0.0034579999999999997,-1.06
802,PMT,PENNYMAC MORTGAGE INV,22.64,0.2,0.89,9.2,0.009415,1.57
803,PAG,PENSKE AUTOMOTIVE GROUP,47.63,-0.69,-1.43,9.2,0.003098,-5.16
804,PEBO,PEOPLES BANCORP INC,34.0,-0.16,-0.47,12.9,0.000288,-1.9
805,PBY,PEP BOYS MANNY MOE&J,26.01,-0.21,-0.8,,3.1e-05,0.65
806,PRFT,PERFICIENT INC,47.2,0.51,1.09,46.3,0.003331,2.45
807,PFMT,PERFORMANT FINANCIAL CO,1.16,0.05,4.5,0.0,2.2e-05,13.73
808,PETS,PETMED EXPRESS INC,23.69,-0.06,-0.25,18.2,0.005261999999999999,0.72
809,PLAB,PHOTRONICS INC,15.08,-0.08,-0.53,34.3,0.009415999999999999,-4.31
810,PICO,PICO HOLDINGS INC,10.38,-0.3,-2.81,30.6,0.000518,-6.65
811,PIR,PIER 1 IMPORTS INC,3.76,-0.12,-3.09,0.0,0.0041990000000000005,-41.25
812,PPC,PILGRIMS PRIDE CORP NEW,30.81,-0.13,-0.42,21.5,0.005693,-5.82
813,PNFP,PINNACLE FINANCIAL,62.97,-0.16,-0.25,12.1,0.002023,-1.61
814,PLT,PLANTRONICS INC,30.45,1.09,3.71,0.0,0.006065999999999999,11.38
815,PLXS,PLEXUS CORP,77.15,0.29,0.38,22.0,0.0010689999999999999,0.27
816,PNM,PNM RESOURCES INC,48.92,-0.07,-0.14,0.0,0.01,-3.53
817,POL,POLYONE CORP,35.06,0.13,0.37,19.6,0.004323,-4.7
818,POOL,POOL CORP,214.51,0.41,0.19,33.6,0.001704,1.0
819,PRAA,PORTFOLIO RECOVERY ASSO,36.84,0.175,0.48,22.7,0.0021420000000000002,1.47
820,POR,PORTLAND GEN ELEC CO,55.64,0.45,0.82,24.7,0.004811,-0.27
821,PTLA,PORTOLA PHARMACEUTICALS,24.74,0.78,3.26,0.0,0.027,3.6
822,POST,POST HOLDINGS INC,108.06,-0.23,-0.21,65.1,0.003951,-0.95
823,PCH,POTLATCH CORP,43.61,0.33,0.76,71.5,0.001396,0.79
824,POWL,POWELL INDUSTRIES INC,47.57,-0.55,-1.14,56.0,0.000898,-2.9
825,POWI,POWER INTEGRATIONS INC,101.97,1.62,1.61,52.6,0.0009220000000000001,3.09
826,PFBC,PREFERRED BANK,58.58,-0.005,-0.01,11.6,0.000634,-2.52
827,PLPC,PREFORMED LINE PRODUCTS,59.64,-0.36,-0.6,13.3,6.8e-05,-1.18
828,PBH,PRESTIGE BRANDS HOLDING,38.77,-0.58,-1.47,0.0,0.0028940000000000003,-4.27
829,PRGX,PRGX GLOBAL INC,4.34,0.04,0.93,0.0,0.0008810000000000001,-11.79
830,PSMT,PRICESMART INC,67.89,-1.02,-1.48,28.3,0.002427,-4.41
831,PRI,PRIMERICA INC,130.87,1.17,0.9,15.6,0.0012439999999999999,0.24
832,PRIM,PRIMORIS SVCS CORP,21.51,-0.2,-0.92,12.6,0.000769,-3.28
833,PGNX,PROGENICS PHARMACEUTICA,4.87,-0.23,-4.51,0.0,0.005693999999999999,-4.32
834,PRGS,PROGRESS SOFTWARE CORP,42.56,0.07,0.16,35.8,0.001698,2.43
835,PFPT,PROOFPOINT INC,121.87,-1.98,-1.6,0.0,0.014,6.18
836,PRO,PROS HOLDINGS INC,65.33,0.69,1.07,0.0,0.0019140000000000001,9.03
837,PSEC,PROSPECT CAPITAL CORP,6.47,0.01,0.15,30.8,0.015,0.47
838,PRTA,PROTHENA CORP PLC,15.77,0.39,2.54,0.0,0.0018059999999999999,-0.38
839,PRLB,PROTO LABS INC,101.62,0.22,0.22,40.6,0.0009539999999999999,0.07
840,PRSC,PROVIDENCE SERVICE CORP,62.41,2.08,3.45,0.0,0.000925,5.46
841,PFS,PROVIDENT FINANCIAL SVC,24.15,-0.26,-1.07,12.8,0.002355,-2.03
842,PROV,PROVIDENT FINL HLDGS IN,21.88,0.07,0.32,32.7,2.7000000000000002e-05,-0.09
843,PSB,PS BUSINESS PARKS INC,164.46,0.75,0.46,43.3,0.000916,-0.25
844,PCYO,PURECYCLE CORP,12.58,0.02,0.16,30.7,0.000558,-0.08
845,PZN,PZENA INVESTMENT MGMT,8.6,0.05,0.58,12.3,0.001097,-0.23
846,QADA,QAD INC,51.32,0.13,0.25,0.0,0.00043799999999999997,0.77
847,QUAD,QUAD / GRAPHICS INC,4.96,-0.06,-1.2,0.0,0.003019,6.21
848,KWR,QUAKER CHEMICAL CORP,165.3,-0.12,-0.07,96.2,0.000949,0.47
849,QLYS,QUALYS INC,84.08,0.03,0.04,55.3,0.0030600000000000002,0.85
850,QDEL,QUIDEL CORP,76.15,-1.11,-1.44,42.3,0.0021219999999999998,1.49
851,QNST,QUINSTREET INC,14.68,-0.1,-0.68,13.3,0.002874,-4.11
852,RDN,RADIAN GROUP INC,24.88,0.39,1.59,8.2,0.015,-1.11
853,RMBS,RAMBUS INC,14.19,0.4,2.9,0.0,0.012,3.01
854,RPT,RAMCO-GERSHENSON PPTYS,14.23,-0.2,-1.39,158.1,0.003461,-5.39
855,RAVN,RAVEN INDUSTRIES INC,33.81,0.08,0.24,35.3,0.0032240000000000003,-1.89
856,ROLL,RBC BEARINGS INC,166.13,-1.01,-0.6,37.7,0.001253,4.92
857,RDI,READING INTERNATIONAL,11.09,0.36,3.36,42.7,0.000468,-0.89
858,RNWK,REALNETWORKS INC,1.36,0.02,1.49,0.0,0.000391,13.33
859,RRGB,RED ROBIN GOURMET BURGE,33.55,0.68,2.07,0.0,0.001449,1.61
860,RWT,REDWOOD TRUST INC,16.93,0.1,0.59,15.0,0.005155,2.36
861,RGS,REGIS CORP,16.82,0.27,1.63,0.0,0.003913000000000001,-5.88
862,RGLS,REGULUS THERAPEUTICS,1.21,-0.3,-19.87,0.0,0.019,35.96
863,RNST,RENASANT CORP,34.67,-0.14,-0.4,11.7,0.001167,-2.12
864,REGI,RENEWABLE ENER GROUP IN,25.31,0.12,0.48,0.0,0.006843999999999999,-6.09
865,RCII,RENT A CENTER INC,29.04,0.15,0.52,12.0,0.004399,0.69
